,2009.repayment.3_yr_repayment.completers_rate,2009.repayment.3_yr_repayment.noncompleters_rate,2009.repayment.7_yr_repayment.completers_rate,2009.repayment.7_yr_repayment.noncompleters_rate,2009.repayment.repayment_cohort.3_year_declining_balance,2009.repayment.repayment_cohort.7_year_declining_balance,2010.repayment.3_yr_repayment.completers_rate,2010.repayment.3_yr_repayment.noncompleters_rate,2010.repayment.7_yr_repayment.completers_rate,2010.repayment.7_yr_repayment.noncompleters_rate,2010.repayment.repayment_cohort.3_year_declining_balance,2010.repayment.repayment_cohort.7_year_declining_balance,2011.repayment.3_yr_repayment.completers_rate,2011.repayment.3_yr_repayment.noncompleters_rate,2011.repayment.7_yr_repayment.completers_rate,2011.repayment.7_yr_repayment.noncompleters_rate,2011.repayment.repayment_cohort.3_year_declining_balance,2011.repayment.repayment_cohort.7_year_declining_balance,2012.repayment.3_yr_repayment.completers_rate,2012.repayment.3_yr_repayment.noncompleters_rate,2012.repayment.7_yr_repayment.completers_rate,2012.repayment.7_yr_repayment.noncompleters_rate,2012.repayment.repayment_cohort.3_year_declining_balance,2012.repayment.repayment_cohort.7_year_declining_balance,2013.repayment.3_yr_repayment.completers_rate,2013.repayment.3_yr_repayment.noncompleters_rate,2013.repayment.7_yr_repayment.completers_rate,2013.repayment.7_yr_repayment.noncompleters_rate,2013.repayment.repayment_cohort.3_year_declining_balance,2013.repayment.repayment_cohort.7_year_declining_balance,2014.repayment.3_yr_repayment.completers_rate,2014.repayment.3_yr_repayment.noncompleters_rate,2014.repayment.7_yr_repayment.completers_rate,2014.repayment.7_yr_repayment.noncompleters_rate,2014.repayment.repayment_cohort.3_year_declining_balance,2014.repayment.repayment_cohort.7_year_declining_balance,2015.repayment.3_yr_repayment.completers_rate,2015.repayment.3_yr_repayment.noncompleters_rate,2015.repayment.7_yr_repayment.completers_rate,2015.repayment.7_yr_repayment.noncompleters_rate,2015.repayment.repayment_cohort.3_year_declining_balance,2015.repayment.repayment_cohort.7_year_declining_balance,school.name
0,,,,,0.7936507937,,,,,,0.6885245902,,,,,,0.5272727273,,0.5094339623,0.5,,,0.5057471264,,0.4725274725,0.5833333333,,,0.5039370079,0.815384615,0.5625,0.4318181818,,,0.5214285714,0.757575758,0.5869565217,0.3833333333,,,0.5065789474,0.629032258,Delta Montrose Technical College
1,0.7772277228,0.4470304976,,,0.4930939227,,0.6763485477,0.3558368495,,,0.4022850271,,0.6168224299,0.3374432187,,,0.3856068743,,0.6195652174,0.3289698349,,,0.3684210526,,0.5698113208,0.267610164,0.770334928,0.507779349,0.2913455839,0.541589649,0.5027173913,0.238197008,0.718045113,0.430395137,0.2558476881,0.470434328,0.4742268041,0.2334379906,0.684357542,0.427597956,0.2504741065,0.470976876,Community College of Denver
2,0.8266787659,0.5065866266,,,0.533521686,,0.6481655691,0.3635369342,,,0.3869024635,,0.509672619,0.2605580119,,,0.2837090306,,0.4799324039,0.2216341874,,,0.2487048926,,0.452690167,0.2174494848,0.854219949,0.555657774,0.236904287,0.580291201,0.4268919912,0.2219193021,0.718126626,0.43569474,0.2367706559,0.458452722,0.409350057,0.2163787918,0.600981767,0.358670661,0.2339988027,0.380569111,Strayer University-District of Columbia
3,0.7269155206,0.5026223776,,,0.5716878403,,0.6089494163,0.422832981,,,0.4883561644,,0.5523156089,0.3355387524,,,0.4125533211,,0.5394548063,0.3066347878,,,0.3751054852,,0.5053003534,0.2844901457,0.726577438,0.524296675,0.3433867421,0.586674528,0.4864864865,0.2830642391,0.634765625,0.475051975,0.3378514056,0.530529172,0.4786764706,0.3020195838,0.619047619,0.405555556,0.3539325843,0.480815348,Eastern Florida State College
4,0.8968152866,0.7141104294,,,0.7734989648,,0.8569856986,0.6471816284,,,0.7284739983,,0.8162020906,0.621221865,,,0.7040325564,,0.7737730061,0.5891373802,,,0.6730568142,,0.7579018157,0.5493039443,0.899453552,0.734757686,0.6459047026,0.787932251,0.7575577949,0.5391912132,0.872037915,0.668292683,0.6390243902,0.748051948,0.7371937639,0.5385288967,0.841576507,0.676401869,0.6259803922,0.74750499,Central Connecticut State University
5,0.7586206897,0.4462875197,,,0.4894486045,,0.7133333333,0.342364532,,,0.3830409357,,,,,,0.306312769,,,,,,0.2821748107,,0.4772727273,0.2760290557,0.77092511,0.518987342,0.28125,0.55366889,0.5151515152,0.2977878616,0.727272727,0.435259693,0.3093447905,0.466710183,0.4721407625,0.2839805825,,,0.3162393162,0.408773045,Delaware State University
6,,,,,0.61352657,,,,,,0.5341880342,,0.7746478873,0.4721189591,,,0.5352941176,,0.752688172,0.4639769452,,,0.525,,0.7738095238,0.414507772,,,0.4787234043,0.655021834,0.7160493827,0.4466019417,,,0.490872211,0.541353384,0.6929824561,0.4889434889,0.807692308,0.480263158,0.5335892514,0.547120419,Gateway Community College
7,0.7592592593,0.5709876543,,,0.5978835979,,0.7283950617,0.5161290323,,,0.5568720379,,0.7441860465,0.4278606965,,,0.4836065574,,0.7586206897,0.39375,,,0.4497354497,,0.7524752475,0.3981481481,0.766666667,0.593220339,0.4539781591,0.618357488,0.6698113208,0.4195205479,0.775280899,0.521505376,0.4579710145,0.570498915,0.6421052632,0.4365781711,0.766666667,0.486486487,0.4618369987,0.533707865,Delaware Technical Community College-Terry
8,,,,,0.6536312849,,,,,,0.5539215686,,0.7735849057,0.534562212,,,0.5814814815,,0.71875,0.5625,,,0.5922619048,,0.7083333333,0.5223880597,,,0.5617647059,0.672222222,0.7820512821,0.5271317829,,,0.5863095238,0.60952381,0.7948717949,0.5169811321,0.793103448,0.631355932,0.5801749271,0.663265306,Tunxis Community College
9,0.8055190539,0.5655813953,,,0.6650326797,,0.7253491325,0.448857645,,,0.5743087558,,0.6429080542,0.3874226132,,,0.5094468085,,0.5929518267,0.3568376068,,,0.4715025907,,0.5749295775,0.3471688445,0.804089219,0.598140496,0.4556554408,0.682566291,0.5624404194,0.3508304285,0.735272989,0.514311006,0.448693927,0.613964037,0.5541188738,0.3580204778,0.682752179,0.4821478,0.4462693571,0.576556777,Georgia State University
10,0.9431818182,0.8435606061,,,0.8736786469,,0.9066745422,0.7630910015,,,0.8295081967,,0.856524428,0.7407771766,,,0.7920547945,,0.8329764454,0.7077272727,,,0.7652409046,,0.8389687236,0.6719008264,0.960249415,0.868421053,0.7544922691,0.895436826,0.8286030225,0.6538461538,0.931256713,0.811067877,0.7417918753,0.864670659,0.8184955141,0.6320136713,0.904328018,0.792383292,0.7163364019,0.839209147,Brigham Young University-Idaho
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois College of Optometry
12,0.942248388,0.8314529915,,,0.8923290203,,0.9052697616,0.7209805335,,,0.8493989071,,0.8848870056,0.6774193548,,,0.8310669456,,0.8663697105,0.6425396825,,,0.8122505373,,0.8399847241,0.6415420023,0.952276601,0.886000542,0.7905376344,0.920897436,0.8290598291,0.6476814516,0.92196057,0.76394052,0.7824284048,0.873528295,0.8222466269,0.6533396049,0.906491338,0.744630072,0.78,0.864543065,University of Illinois at Urbana-Champaign
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4782608696,,,,,,0.5416666667,,,,,,0.6101694915,,Cannella School of Hair Design-Elgin
