,school.branches,school.carnegie_basic,school.carnegie_size_setting,school.carnegie_undergrad,school.degrees_awarded.highest,school.degrees_awarded.predominant,school.faculty_salary,school.ft_faculty_rate,school.institutional_characteristics.level,school.instructional_expenditure_per_fte,school.locale,school.main_campus,school.name,school.operating,school.ownership,school.state,school.tuition_revenue_per_fte,school.under_investigation
11,1,-3,-2,-2,1,1,,,3,5203,11,1,Steven Papageorge Hair Academy,1,3,IL,10180,0
12,1,18,10,9,4,3,7036.0,1.0,1,5784,21,1,McKendree University,1,2,IL,10666,0
13,1,18,14,13,4,3,7022.0,0.2991,1,6400,23,1,Olivet Nazarene University,1,2,IL,12425,0
14,1,23,7,9,3,2,5261.0,0.2583,1,4246,32,1,Lincoln College,1,2,IL,8537,0
15,1,5,4,1,2,2,10044.0,0.2504,2,7977,13,1,Oakton Community College,1,1,IL,2523,0
16,1,3,3,2,2,1,6976.0,0.2542,2,6089,13,1,Kankakee Community College,1,1,IL,2486,0
17,1,22,10,9,4,3,7016.0,0.3211,1,6353,12,1,Judson University,1,2,IL,9573,0
18,1,2,2,2,2,2,6348.0,0.4516,2,3669,33,1,Olney Central College,1,1,IL,868,0
19,1,24,8,13,4,3,5352.0,0.9787,1,5307,32,1,Lincoln Christian University,1,2,IL,9662,0
0,1,21,11,14,3,3,8084.0,0.7162,1,17242,13,1,Illinois Wesleyan University,1,2,IL,20087,0
1,1,21,11,14,3,3,7434.0,0.9541,1,12717,32,1,Knox College,1,2,IL,17081,0
2,1,7,3,2,2,2,8136.0,0.3568,2,7965,11,1,City Colleges of Chicago-Malcolm X College,1,1,IL,636,0
3,1,18,11,13,4,3,4155.0,0.6166,1,9279,21,1,Concordia University-Chicago,1,2,IL,14198,0
4,1,7,4,1,2,2,8743.0,0.2579,2,4130,11,1,City Colleges of Chicago-Wilbur Wright College,1,1,IL,1272,0
5,1,18,12,5,4,3,7568.0,0.531,1,14251,41,1,Governors State University,1,1,IL,7770,0
6,1,7,3,2,2,1,8279.0,0.3376,2,5868,11,1,City Colleges of Chicago-Olive-Harvey College,1,1,IL,549,0
7,1,1,1,1,2,1,5384.0,1.0,2,12428,13,1,Eastern Idaho Technical College,1,1,ID,1695,0
8,1,21,8,13,4,3,6532.0,1.0,1,11191,12,1,Wesleyan College,1,2,GA,10820,0
9,1,26,18,0,4,4,3500.0,,1,7245,21,1,World Medicine Institute,1,2,HI,11899,1
10,1,22,9,5,3,3,8767.0,0.5976,1,11095,21,1,University of Hawaii-West Oahu,1,1,HI,5425,0
11,3,26,6,11,4,3,5932.0,1.0,1,10995,33,1,Blessing Rieman College of Nursing and Health Sciences,1,2,IL,10765,0
12,1,-3,-2,-2,1,1,,,2,7244,23,1,Paul Mitchell the School-Bradley,1,3,IL,16547,0
13,1,-3,-2,-2,1,1,,,2,15533,32,1,Graham Hospital School of Nursing,1,2,IL,13600,0
14,1,-3,-2,-2,1,1,,,2,4329,21,1,Hair Professionals Academy of Cosmetology,1,3,IL,10290,0
15,1,25,18,0,4,4,,,1,158058,11,1,Morehouse School of Medicine,1,2,GA,35002,0
16,1,18,11,13,4,3,6172.0,0.4907,1,8093,32,1,Piedmont College,1,2,GA,9147,0
17,1,21,11,12,3,3,7247.0,0.7523,1,10972,11,1,Morehouse College,1,2,GA,12819,0
18,1,22,10,13,4,3,5448.0,0.3053,1,7124,41,1,Reinhardt University,1,2,GA,11330,0
19,1,2,2,1,2,1,3936.0,0.4201,2,4649,23,1,Wiregrass Georgia Technical College,1,1,GA,2612,0
0,1,5,3,1,2,1,4689.0,,2,4432,21,1,Southern Crescent Technical College,1,1,GA,2714,0
1,1,-3,-2,-2,1,1,,,3,8750,21,1,Suncoast Technical College,1,1,FL,2994,0
2,1,-3,-2,-2,1,1,,,2,6125,21,1,Sheridan Technical College,1,1,FL,2038,0
3,1,24,8,11,4,3,3941.0,0.6296,1,10301,21,1,Saint John Vianney College Seminary,1,2,FL,32706,0
4,1,-3,-2,-2,1,1,,,3,5258,21,1,Beauty College of America,0,3,GA,2225,0
5,1,10,-2,-2,2,1,4056.0,0.6,2,5706,11,1,Brown College of Court Reporting,1,3,GA,13263,0
6,1,-3,-2,-2,1,1,,,3,4432,21,1,Atlanta School of Massage,1,3,GA,18627,0
7,1,1,2,1,2,2,4931.0,0.5238,2,6729,41,1,North Florida Community College,1,1,FL,1136,0
8,1,9,1,4,2,2,3264.0,,2,2282,21,1,Gupton Jones College of Funeral Service,1,2,GA,8332,0
9,2,15,15,13,4,3,10499.0,0.7433,1,11633,11,1,University of Arizona,1,1,AZ,13981,0
10,1,7,5,1,2,1,9085.0,1.0,2,5063,11,1,Mesa Community College,1,1,AZ,2148,0
11,1,-3,-2,-2,1,1,,,3,1669,12,1,Arkansas Beauty School-Little Rock,1,3,AR,4894,0
12,1,-3,-2,-2,1,1,,,3,11011,13,1,Arthur's Beauty College Inc-Fort Smith,0,3,AR,20987,0
13,1,15,16,15,4,3,9169.0,0.8733,1,9362,13,1,University of Arkansas,1,1,AR,7866,0
14,1,7,5,1,2,1,5367.0,0.3167,2,4262,11,1,Pima Community College,1,1,AZ,1763,0
15,1,-3,-2,-2,1,1,,,3,10948,11,1,Roberto-Venn School of Luthiery,1,3,AZ,10503,0
16,1,6,4,1,2,2,9130.0,1.0,2,6815,41,1,Scottsdale Community College,1,1,AZ,2417,0
17,1,16,16,13,4,3,7179.0,0.628,1,10307,12,1,University of South Alabama,1,1,AL,7986,0
18,1,7,4,1,2,1,9116.0,1.0,2,5178,11,1,Phoenix College,1,1,AZ,1413,0
19,1,-3,-2,-2,1,1,,,3,9902,12,1,International Academy of Hair Design,0,3,AZ,9342,0
0,2,7,3,1,2,1,8704.0,1.0,2,5953,11,1,GateWay Community College,1,1,AZ,2359,0
1,1,-3,-2,-2,1,1,,,3,4181,13,1,Imagine-Paul Mitchell Partner School,1,3,AR,6150,0
2,2,18,14,14,4,3,7200.0,0.7634,1,9673,32,1,Harding University,1,2,AR,13101,0
3,1,19,13,13,4,3,6427.0,0.9898,1,7040,32,1,Henderson State University,1,1,AR,3282,0
4,1,18,13,10,4,3,7017.0,0.7096,1,7941,12,1,Alabama A & M University,1,1,AL,9657,0
5,1,15,15,9,4,3,10221.0,0.9081,1,17548,12,1,University of Alabama at Birmingham,1,1,AL,10263,0
6,2,16,15,15,4,3,9532.0,0.5236,1,7098,11,1,San Diego State University,1,1,CA,7103,0
7,1,18,15,13,4,3,8854.0,0.4785,1,7752,21,1,California State University-Fullerton,1,1,CA,5731,0
8,1,-3,-2,-2,1,1,,,3,2605,21,1,Salon Success Academy-Upland,1,3,CA,4910,0
9,3,-3,-2,-2,1,1,,,3,2062,12,1,Salon Success Academy-Corona,1,3,CA,6862,0
10,1,7,4,1,2,2,9931.0,0.3379,2,4555,11,1,Riverside City College,1,1,CA,740,0
11,1,30,7,11,4,3,11176.0,1.0,1,24589,11,1,San Francisco Conservatory of Music,1,2,CA,24661,0
12,1,17,16,15,4,3,12851.0,0.4051,1,16055,11,1,University of San Francisco,1,2,CA,27182,0
13,2,7,5,2,2,2,9213.0,0.4081,2,3932,11,1,San Joaquin Delta College,1,1,CA,466,0
14,1,3,3,1,2,2,9600.0,0.2676,2,8477,41,1,College of the Redwoods,1,1,CA,909,0
15,12,10,4,4,2,2,5258.0,0.4123,2,4885,41,1,San Joaquin Valley College-Visalia,1,3,CA,8720,0
16,1,5,5,1,2,1,9624.0,0.2846,2,3950,21,1,Saddleback College,1,1,CA,1745,0
17,1,7,4,1,2,2,6085.0,0.2881,2,4953,11,1,San Diego Miramar College,1,1,CA,486,0
18,1,31,18,0,4,4,13313.0,0.9054,1,27372,11,1,University of California-Hastings College of Law,1,1,CA,31429,0
19,1,18,12,11,4,3,8455.0,0.5996,1,6446,11,1,California State University-Bakersfield,1,1,CA,2924,0
0,1,15,16,15,4,3,14327.0,0.8368,1,11639,22,1,University of California-Santa Barbara,1,1,CA,13678,0
1,1,-3,-2,-2,1,1,,,3,3716,11,1,Brownson Technical School,1,3,CA,9113,0
2,1,26,18,0,4,4,6807.0,0.2982,1,9630,11,1,Phillips Graduate University,1,2,CA,17325,0
3,2,17,9,11,4,3,8504.0,0.2968,1,10479,11,1,California Institute of Integral Studies,1,2,CA,18390,0
4,1,3,4,1,2,2,7297.0,0.3905,2,6690,22,1,Cabrillo College,1,1,CA,1012,0
