,school.branches,school.carnegie_basic,school.carnegie_size_setting,school.carnegie_undergrad,school.degrees_awarded.highest,school.degrees_awarded.predominant,school.faculty_salary,school.ft_faculty_rate,school.institutional_characteristics.level,school.instructional_expenditure_per_fte,school.locale,school.main_campus,school.name,school.operating,school.ownership,school.state,school.tuition_revenue_per_fte,school.under_investigation
17,1,18,15,12,4,3,6267.0,0.8107,1,5846,13,1,Southeastern Louisiana University,1,1,LA,5318,0
18,1,16,16,15,4,3,9816.0,0.6732,1,10228,21,1,University of Maryland-Baltimore County,1,1,MD,9100,0
19,1,4,4,1,2,2,7101.0,0.2105,2,8772,13,1,Howard Community College,1,1,MD,4437,0
0,1,20,14,11,4,3,7856.0,0.6576,1,9688,31,1,University of Maryland Eastern Shore,1,1,MD,4141,0
1,1,-3,-2,-2,1,1,,,3,858,32,1,Marion S Whelan School of Nursing of Geneva General Hospital,1,2,NY,6811,0
2,1,18,12,7,4,3,8635.0,0.2655,1,5326,21,1,Mercy College,1,2,NY,15065,0
3,1,-3,-2,-2,1,1,,,3,3000,21,1,Long Island Beauty School-Hempstead,1,3,NY,9961,0
4,6,18,6,7,4,3,,,1,14249,21,0,LIU Brentwood,1,2,NY,30018,0
5,1,24,8,11,4,3,2183.0,0.6111,1,5977,11,1,Mesivta Torah Vodaath Rabbinical Seminary,1,2,NY,6533,0
6,1,24,8,11,3,3,3704.0,,1,12682,11,1,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,1,2,NY,7692,0
7,1,24,6,10,4,3,3651.0,,1,25780,11,1,Mesivtha Tifereth Jerusalem of America,1,2,NY,11588,0
8,1,25,18,0,4,4,,,1,27898,11,1,Icahn School of Medicine at Mount Sinai,1,2,NY,29108,0
9,1,18,13,11,4,3,8121.0,0.2238,1,5759,21,1,The College of New Rochelle,1,2,NY,13748,0
10,2,30,14,15,4,3,10119.0,0.1375,1,15799,11,1,Pratt Institute-Main,1,2,NY,30132,0
11,1,30,8,10,4,3,8117.0,0.2809,1,18039,11,1,Manhattan School of Music,1,2,NY,29700,0
12,1,9,6,5,3,2,6349.0,0.4464,1,6757,13,1,Maria College of Albany,1,2,NY,13496,0
13,1,18,11,13,4,3,6537.0,0.9016,1,10388,21,1,Roberts Wesleyan College,1,2,NY,15183,0
14,1,26,18,0,4,4,6683.0,1.0,1,10738,11,1,New York College of Podiatric Medicine,1,2,NY,27349,0
15,1,22,8,11,3,3,5465.0,0.6966,1,6952,42,1,Paul Smiths College of Arts and Science,1,2,NY,12266,0
16,1,24,8,10,3,3,1480.0,,1,3353,41,1,Kehilath Yakov Rabbinical Seminary,1,2,NY,3225,0
17,1,29,9,11,4,3,5782.0,0.1055,1,4442,11,1,LIM College,1,3,NY,25495,0
18,1,24,6,10,4,3,5692.0,,1,7317,11,1,Rabbinical College of Ch'san Sofer New York,0,2,NY,12016,0
19,1,24,8,10,3,3,4852.0,,1,14437,21,1,Rabbinical College Beth Shraga,1,2,NY,17688,0
0,1,-3,-2,-2,1,1,,,3,5395,13,1,Ridley-Lowell Business & Technical Institute-Binghamton,1,3,NY,10746,0
1,1,8,1,4,2,2,6090.0,1.0,2,16182,33,1,New Mexico Military Institute,1,1,NM,9156,0
2,1,29,8,11,4,3,1883.0,0.1071,1,13605,11,1,Colorado Heights University,0,2,CO,17284,0
3,1,24,6,0,4,3,6319.0,,1,14763,41,1,Unification Theological Seminary,1,2,NY,12121,0
4,1,26,18,0,4,4,4583.0,,1,3146,11,1,American College of Acupuncture and Oriental Med,1,3,TX,8299,0
5,1,26,18,0,4,4,4151.0,0.3143,1,6944,11,1,AOMA Graduate School of Integrative Medicine,1,3,TX,15720,0
6,79,-3,9,5,4,3,6700.0,0.125,1,2026,21,0,Strayer University-Maryland,1,3,MD,15430,0
7,1,17,15,5,4,3,6681.0,0.1547,1,1801,11,1,Capella University,1,3,MN,17604,0
8,28,30,9,7,3,3,5834.0,0.2121,1,6054,13,0,Argosy University-The Art Institute of California-Los Angeles,0,3,CA,13623,0
9,3,-3,-2,-2,1,1,,,3,16726,33,0,Blessing Hospital School of Medical Laboratory Technology,1,2,IL,5628,0
10,135,10,6,6,3,2,4695.0,0.0685,1,2105,13,0,ITT Technical Institute-Richardson,0,3,TX,15025,0
11,14,-3,-2,-2,1,1,,,3,7117,11,0,CET-El Paso,1,2,TX,6564,0
12,13,-3,-2,-2,1,1,,,3,3534,21,0,Lincoln Technical Institute-Lincoln,1,3,RI,8371,0
13,1,26,6,11,4,3,5511.0,0.5,1,1620,11,1,Texas Health and Science University,1,3,TX,6049,0
14,2,-3,-2,-2,1,1,,,3,1285,12,0,North-West College-Glendale,1,3,CA,7813,0
15,1,-3,-2,-2,1,1,,,3,3784,11,1,New Professions Technical Institute,1,3,FL,10923,0
16,4,23,6,7,3,2,5021.0,0.093,1,7516,13,0,City College-Miami,1,2,FL,17115,0
17,9,-3,-2,-2,1,1,3333.0,0.9265,1,1427,12,0,Dewey University-Carolina,1,2,PR,831,0
18,1,-3,-2,-2,1,1,,,2,4934,12,1,Pinellas Technical College-St. Petersburg,1,1,FL,1827,0
19,1,-3,-2,-2,1,1,,,3,3096,11,1,Med-Assist School of Hawaii Inc,1,3,HI,5314,1
0,4,-3.0,-2.0,-2.0,1,1,,,3,9451.0,21.0,0,Spa Tech Institute-Plymouth,1,3,MA,12498.0,0
1,4,23.0,11.0,11.0,3,2,8765.0,1.0,1,7054.0,11.0,0,Johnson & Wales University-Charlotte,1,2,NC,17084.0,0
2,4,,,,0,0,,,1,,,0,Golden Gate University-Silicon Valley,1,2,CA,,0
3,2,,,,0,0,,,2,,,0,Humphreys College-Modesto,1,2,CA,,0
4,8,,,,0,0,,,3,,,0,Porter and Chester Institute of Rocky Hill,1,3,CT,,0
5,8,,,,0,0,,,3,,,0,Porter and Chester Institute of Watertown,1,3,CT,,0
6,79,,,,0,0,,,1,,,0,Strayer University-Takoma Park Campus,1,3,DC,,0
7,11,23.0,6.0,11.0,3,1,3554.0,,1,3187.0,21.0,0,Everest University-Orange Park,1,2,FL,8052.0,0
8,1,-3.0,-2.0,-2.0,1,1,,,3,7212.0,41.0,1,Turning Point Beauty College,1,3,AZ,7702.0,0
9,2,22.0,6.0,11.0,3,3,6076.0,0.1967,1,1644.0,12.0,0,Flagler College-Tallahassee,1,2,FL,3669.0,0
10,4,10.0,1.0,4.0,1,1,3440.0,,2,1654.0,12.0,0,Kaplan College-Lubbock,0,3,TX,7857.0,0
11,2,-3.0,-2.0,-2.0,1,1,,,2,7540.0,21.0,1,International Yacht Restoration School,1,2,RI,12416.0,0
12,2,,,,0,0,,,1,,,0,Union Presbyterian Seminary-Charlotte,1,2,NC,,0
13,4,,,,0,0,,,2,,,0,Wright Career College - Oklahoma City OK,0,2,OK,,0
14,1,-3.0,-2.0,-2.0,1,1,,,3,1248.0,13.0,1,Charlie's Guard-Detective Bureau and Academy Inc,1,3,PR,3349.0,0
15,3,10.0,2.0,4.0,2,2,4243.0,,2,2065.0,21.0,0,Le Cordon Bleu College of Culinary Arts-Atlanta,0,3,GA,9012.0,0
16,1,-3.0,-2.0,-2.0,1,1,,,3,1146.0,11.0,1,South Texas Barber College Inc,1,3,TX,828.0,0
17,1,24.0,7.0,5.0,4,2,4740.0,1.0,1,8825.0,13.0,1,Virginia University of Lynchburg,1,2,VA,7742.0,0
18,3,-3.0,-2.0,-2.0,1,1,,,3,6043.0,11.0,1,Star Career Academy-New York,0,3,NY,23699.0,0
19,13,-3.0,-2.0,-2.0,1,1,,,2,3988.0,11.0,0,Euphoria Institute of Beauty Arts & Sciences-Summerlin,1,3,NV,7371.0,0
0,80,-3,-2,-2,1,1,,,2,12509,12,0,Regency Beauty Institute-Lakewood,0,3,CO,16043,0
1,80,-3,-2,-2,1,1,,,2,8339,21,0,Regency Beauty Institute-Westminster,0,3,CO,10695,0
2,80,-3,-2,-2,1,1,,,3,14704,11,0,Regency Beauty Institute-Avon,0,3,IN,18857,0
3,80,-3,-2,-2,1,1,,,3,15964,21,0,Regency Beauty Institute-Tri-County,0,3,OH,20474,0
4,23,10,6,5,3,2,5463.0,0.4167,1,4404,12,0,Rasmussen College-Wisconsin,1,3,WI,15882,0
5,15,-3,-2,-2,1,1,,,3,11985,21,0,Empire Beauty School-Lisle,0,3,IL,9755,0
6,9,-3,-2,-2,1,1,,,3,6193,21,0,Empire Beauty School-North Hills,1,3,PA,9168,0
7,1,-3,-2,-2,1,1,,,3,12217,11,1,Lexington Healing Arts Academy,1,3,KY,14756,0
8,2,-3,-2,-2,1,1,,,2,4795,11,1,The Institute of Beauty and Wellness,1,3,WI,9519,0
9,2,-3,-2,-2,1,1,,,3,12011,12,1,Make-up Designory,1,3,CA,26647,0
10,1,-3,-2,-2,1,1,,,3,3367,21,1,Palm Beach Academy of Health & Beauty,1,3,FL,10105,0
11,1,-3,2,4,2,2,5272.0,0.6667,2,6106,11,1,SABER College,1,2,FL,13421,1
12,1,-3,-2,-2,1,1,,,3,1476,13,1,Pensacola School of Massage Therapy & Health Careers,1,3,FL,6975,0
13,1,10,1,4,2,2,4452.0,,2,2787,21,1,Louisiana Culinary Institute,1,3,LA,15924,0
14,1,-3,-2,-2,1,1,,,3,8932,21,1,Center for Natural Wellness School of Massage Therapy,1,3,NY,15238,0
15,1,-3,-2,-2,1,1,,,3,6029,11,1,Ace Institute of Technology,0,3,NY,16293,0
16,4,-3,-2,-2,1,1,,,3,3444,21,1,Dayton School of Medical Massage,1,3,OH,15518,0
17,2,-3,-2,-2,1,1,,,3,4700,11,1,CCI Training Center-Arlington,1,3,TX,9848,0
18,1,-3,-2,-2,1,1,,,3,15854,33,1,Southwest Applied Technology College,1,1,UT,2003,0
19,1,-3,-2,-2,1,1,,,2,8064,13,1,Academy of Cosmetology,1,3,WI,8935,0
0,1,-3.0,-2.0,-2.0,2,1,2714.0,0.6923,2,6810.0,21.0,1,Milwaukee Career College,1,3,WI,21391.0,0
1,5,10.0,1.0,4.0,2,1,5132.0,0.5714,2,6326.0,21.0,0,Fortis College-Cincinnati,1,3,OH,10281.0,0
2,8,10.0,-2.0,-2.0,2,1,2696.0,0.3333,2,1878.0,13.0,0,Blue Cliff College-Alexandria,1,3,LA,10875.0,0
3,33,10.0,1.0,3.0,2,1,2804.0,,2,4687.0,13.0,0,Virginia College-Biloxi,1,3,MS,17680.0,0
4,6,,,,0,0,,,1,,,0,Alliant International University-Los Angeles,1,3,CA,,0
5,6,,,,0,0,,,1,,,0,Alliant International University-Sacramento,1,3,CA,,0
6,38,29.0,6.0,10.0,4,3,,,1,3143.0,13.0,0,University of Phoenix-Alabama,1,3,AL,4378.0,0
7,135,14.0,6.0,6.0,3,2,4826.0,0.1375,1,2265.0,12.0,0,ITT Technical Institute-Mobile,0,3,AL,16230.0,0
8,135,14.0,6.0,10.0,3,2,,0.0,1,2003.0,12.0,0,ITT Technical Institute-Chattanooga,0,3,TN,18425.0,0
9,5,14.0,6.0,7.0,3,2,3541.0,,1,8563.0,21.0,0,Broadview University-Layton,0,3,UT,18723.0,0
10,7,14.0,6.0,10.0,3,3,5500.0,,1,9098.0,11.0,0,International Academy of Design and Technology-Sacramento,0,3,CA,26458.0,0
11,135,14.0,6.0,6.0,3,2,5538.0,0.1143,1,2248.0,12.0,0,ITT Technical Institute-Columbia,0,3,SC,19092.0,0
12,135,14.0,6.0,6.0,3,2,4811.0,0.0732,1,1918.0,21.0,0,ITT Technical Institute-Atlanta,0,3,GA,15936.0,0
13,135,14.0,6.0,6.0,3,2,6021.0,,1,5217.0,21.0,0,ITT Technical Institute-St Petersburg,0,3,FL,28781.0,0
14,135,14.0,6.0,10.0,3,2,4337.0,0.0789,1,1599.0,21.0,0,ITT Technical Institute-Baton Rouge,0,3,LA,15727.0,0
15,28,21.0,6.0,5.0,4,3,,0.1071,1,2499.0,12.0,0,Argosy University-Inland Empire,1,3,CA,11538.0,0
16,1,-3.0,-2.0,-2.0,1,1,,,3,4166.0,11.0,1,Tucson College of Beauty,1,3,AZ,4376.0,0
17,1,-3.0,1.0,1.0,2,1,3905.0,,2,2861.0,13.0,1,Asher College,1,3,CA,8921.0,0
18,1,26.0,18.0,0.0,4,4,4375.0,,1,1029.0,12.0,1,University of East-West Medicine,1,3,CA,6529.0,0
19,2,-3.0,-2.0,-2.0,1,1,,,3,6932.0,23.0,1,Blake Austin College,1,3,CA,16201.0,0
0,1,-3.0,-2.0,-2.0,1,1,,,3,1789.0,23.0,1,Compass Career College,1,3,LA,8671.0,0
1,2,-3.0,-2.0,-2.0,1,1,,,3,2206.0,13.0,1,Healing Touch Career College,1,3,MS,9049.0,0
2,1,-3.0,-2.0,-2.0,1,1,,,2,7356.0,12.0,1,The Salon Professional Academy-Fargo,1,3,ND,12936.0,0
3,1,-3.0,-2.0,-2.0,1,1,,,3,8009.0,11.0,1,Aveda Institute-New York,1,3,NY,14826.0,0
4,1,1.0,-2.0,-2.0,1,1,,,2,4635.0,21.0,1,Mountainland Applied Technology College,1,1,UT,2287.0,0
5,1,-3.0,-2.0,-2.0,1,1,,,3,2412.0,13.0,1,Mountain State School of Massage,1,3,WV,10170.0,0
6,32,30.0,7.0,7.0,3,2,4829.0,0.2099,1,4063.0,11.0,0,The Art Institute of Indianapolis,1,3,IN,11339.0,0
7,1,-3.0,-2.0,-2.0,2,1,3250.0,0.8519,2,3311.0,21.0,1,Sullivan and Cogliano Training Center,1,3,FL,4645.0,0
8,1,27.0,8.0,14.0,3,3,10765.0,0.8182,1,28298.0,21.0,1,Franklin W Olin College of Engineering,1,2,MA,13620.0,0
9,4,,,,0,0,,,2,,,0,Wright Career College - Tulsa OK,0,2,OK,,0
10,1,2.0,3.0,1.0,2,2,8462.0,0.2963,2,4334.0,41.0,1,West Hills College-Lemoore,1,1,CA,484.0,0
11,2,10.0,1.0,1.0,2,2,4744.0,0.3158,2,4095.0,21.0,0,Stautzenberger College-Brecksville,1,3,OH,13461.0,0
12,6,-3.0,-2.0,-2.0,1,1,,,3,6477.0,13.0,0,Unitech Training Academy-Houma,1,3,LA,11211.0,0
13,2,-3.0,-2.0,-2.0,1,1,,,2,6626.0,21.0,0,Automotive Training Center-Warminster,1,3,PA,11930.0,0
14,38,29.0,6.0,10.0,3,3,,,1,10620.0,13.0,0,University of Phoenix-Connecticut,0,3,CT,11887.0,0
15,2,10.0,6.0,6.0,2,2,5250.0,0.6286,1,7413.0,21.0,0,Eastern International College-Belleville,1,3,NJ,25321.0,0
16,2,-3.0,-2.0,-2.0,1,1,,,3,2111.0,11.0,0,Broken Arrow Beauty College-Tulsa,1,3,OK,4448.0,0
17,3,-3.0,-2.0,-2.0,1,1,,,2,3352.0,11.0,0,Universal Technical Institute of Northern California Inc,1,3,CA,12809.0,0
18,135,14.0,6.0,6.0,3,2,5123.0,0.0962,1,5201.0,11.0,0,ITT Technical Institute-Oklahoma City,0,3,OK,20526.0,0
19,9,-3.0,-2.0,-2.0,1,1,,,3,4202.0,11.0,0,Lincoln Technical Institute-Whitestone,1,3,NY,14713.0,0
0,8,-3,-2,-2,1,1,,,3,5350,21,0,Branford Hall Career Institute-Albany Campus,1,3,NY,18542,0
1,4,-3,-2,-2,1,1,,,3,2691,22,0,Harris School of Business-Linwood Campus,1,3,NJ,12421,0
2,5,10,1,4,2,1,4036.0,0.3226,2,3361,21,0,College of Business and Technology-Flagler,1,3,FL,7336,0
3,9,-3,-2,-2,1,1,3333.0,,1,882,23,0,Dewey University-Juana Diaz,1,2,PR,513,0
4,80,-3,-2,-2,1,1,,,3,9524,21,0,Regency Beauty Institute-St Peters,0,3,MO,12214,0
5,80,-3,-2,-2,1,1,,,3,9160,12,0,Regency Beauty Institute-Peoria,0,3,IL,11747,0
6,80,-3,-2,-2,1,1,,,3,10159,21,0,Regency Beauty Institute-Olathe,0,3,KS,13029,0
7,9,-3,-2,-2,1,1,,,3,1655,21,0,Everest Institute-South Plainfield,1,2,NJ,4628,0
8,9,-3,-2,-2,1,1,3333.0,,2,1716,23,0,Dewey University-Fajardo,1,2,PR,999,0
9,80,-3,-2,-2,1,1,,,3,13740,11,0,Regency Beauty Institute-Independence,0,3,MO,17621,0
10,33,26,6,5,3,2,6240.0,0.2308,1,4948,11,0,National American University-Zona Rosa,1,3,MO,15462,0
11,1,26,6,5,4,3,7248.0,1.0,1,7962,11,1,Resurrection University,1,2,IL,17489,0
12,3,-3,-2,-2,1,1,,,3,7472,11,0,Allen School-Brooklyn,1,3,NY,20116,0
13,1,9,1,4,2,1,5613.0,,2,10860,23,1,Commonwealth Technical Institute,1,2,PA,60804,0
14,1,24,6,5,3,3,447.0,,1,3413,22,1,Tri-State Bible College,1,2,OH,8704,0
15,1,26,18,0,4,4,,,1,3131,11,1,Colorado School of Traditional Chinese Medicine,1,3,CO,12199,0
16,1,10,-2,-2,1,1,,,3,17309,23,1,Alexandria School of Scientific Therapeutics,1,3,IN,11945,0
17,1,-3,-2,-2,1,1,,,3,4861,22,1,Putnam Career and Technical Center,1,1,WV,3438,0
18,1,1,1,1,2,2,4181.0,0.2121,2,2277,41,1,Eastern West Virginia Community and Technical College,1,1,WV,1785,0
19,1,6,4,2,2,1,5059.0,0.4326,2,3933,12,1,Baton Rouge Community College,1,1,LA,3346,0
0,1,24,6,11,3,3,5193.0,0.134,1,5922,11,1,Pillar College,1,2,NJ,18017,0
1,1,4,2,2,2,2,6619.0,0.2986,1,5127,21,1,Cascadia College,1,1,WA,3051,0
2,1,-3,2,4,2,1,4935.0,0.6133,2,6762,21,1,Concorde Career College-Grand Prairie,1,3,TX,12441,0
3,3,26,6,5,4,1,3893.0,0.1892,1,3573,11,0,Pacific College of Oriental Medicine-Chicago,1,3,IL,13432,0
4,8,-3,-2,-2,2,1,4056.0,0.3846,2,1872,11,0,InterCoast Colleges-Riverside,1,3,CA,9971,0
5,1,10,6,11,4,1,4734.0,0.2381,1,4312,21,1,University of Antelope Valley,1,3,CA,11640,0
6,1,26,6,5,3,3,,,1,3887,11,1,Birthingway College of Midwifery,1,2,OR,19525,0
7,1,-3,-2,-2,1,1,,,3,2500,13,1,California Healing Arts College,1,3,CA,11704,0
8,1,-3,-2,-2,1,1,,,3,1514,13,1,Colegio Educativo Tecnologico Industrial Inc,1,2,PR,33,0
9,1,-3,-2,-2,1,1,,,3,3589,13,1,Irene's Myomassology Institute,1,3,MI,8495,0
10,2,-3,-2,-2,1,1,,,3,1977,12,1,P C Age-Jersey City,1,3,NJ,6472,0
11,2,-3,-2,-2,1,1,,,2,1257,11,1,Toni & Guy Hairdressing Academy-Colorado Springs,1,3,CO,7771,0
12,2,-3,-2,-2,1,1,,,3,4355,11,1,Trend Barber College,1,3,TX,8651,0
13,1,-3,-2,-2,1,1,,,3,1751,21,1,Valley Grande Institute for Academic Studies,1,2,TX,8720,1
14,2,-3,-2,-2,1,1,,,3,3926,11,1,Artistic Nails and Beauty Academy-Tampa,1,3,FL,4206,0
15,1,25,6,11,4,3,5747.0,0.8644,1,58908,12,1,Louisiana State University Health Sciences Center-Shreveport,1,1,LA,14837,0
16,38,29,6,11,4,3,,,1,4484,11,0,University of Phoenix-Indiana,1,3,IN,6025,0
17,1,-3,-2,-2,1,1,,,3,2153,21,1,Erie 1 BOCES,1,1,NY,10646,0
18,1,-3,-2,-2,1,1,,,2,3748,21,1,PCI College,1,3,CA,12324,0
19,1,-3,-2,-2,1,1,,,3,3734,21,1,American Career College-Lynwood,1,3,CA,11204,0
0,5,-3,-2,-2,1,1,,,3,5674,11,0,Star Career Academy-Newark,0,3,NJ,21630,0
1,7,30,6,11,3,3,,,1,6090,21,0,Sanford-Brown College-Orlando,0,3,FL,20720,0
2,7,10,2,4,2,2,4137.0,,2,2598,21,0,Le Cordon Bleu College of Culinary Arts-Orlando,0,3,FL,9193,0
3,135,10,1,3,2,2,5951.0,0.0652,2,2810,21,0,ITT Technical Institute-Plymouth Meeting,0,3,PA,18660,0
4,13,10,-2,-2,2,1,4776.0,0.4,2,4094,11,0,Lincoln Technical Institute-Center City Philadelphia,0,3,PA,9159,0
5,3,10,2,4,2,1,5767.0,,2,4536,11,0,American Career College-Anaheim,1,3,CA,13239,0
6,4,10,1,4,2,1,3083.0,,2,2348,12,0,Brightwood College-Beaumont,1,3,TX,11282,0
7,1,33,1,2,2,2,5590.0,0.4118,2,4779,32,1,Saginaw Chippewa Tribal College,1,1,MI,950,0
8,1,26,18,0,4,4,5685.0,0.7692,1,7240,11,1,The Seattle School of Theology & Psychology,1,2,WA,15294,0
9,2,-3,-2,-2,1,1,,,3,3956,11,0,American Broadcasting School-Arlington,0,3,TX,9035,0
10,1,-3,-2,-2,1,1,,,3,2604,11,1,East Valley Institute of Technology,1,1,AZ,3830,0
11,2,-3,-2,-2,1,1,,,3,6780,13,1,Design's School of Cosmetology,1,3,CA,6493,0
12,1,-3,-2,-2,1,1,,,3,1561,21,1,Florida Barber Academy,1,3,FL,11446,0
13,1,-3,-2,-2,1,1,,,3,8038,11,1,Jacksonville Beauty Institute,0,3,FL,10979,0
14,1,-3,-2,-2,1,1,,,3,7017,11,1,M-DCPS The English Center,1,1,FL,862,0
15,1,-3,-2,-2,1,1,,,2,3518,11,1,Aviation Institute of Maintenance-Kansas City,1,3,MO,9226,0
16,1,-3,-2,-2,1,1,,,3,4512,22,1,Institute of Technology,1,3,OR,11985,0
17,2,-3,-2,-2,1,1,,,3,3765,11,1,MJ's Beauty Academy Inc,1,3,TX,5416,0
18,1,10,1,3,2,1,5683.0,0.175,2,3789,22,1,Eastern Virginia Career College,1,3,VA,9705,0
19,1,-3,-2,-2,1,1,,,3,5290,11,1,Rudy & Kelly Academy-A Paul Mitchell Partner School,1,3,VA,10803,0
0,33,10,1,2,2,2,3835.0,,2,3440,11,0,Virginia College-Austin,1,3,TX,16497,0
1,1,10,1,3,2,1,,,2,2051,12,1,Colorado School of Healing Arts,1,3,CO,8580,0
2,7,-3,-2,-2,1,1,,,3,5135,12,0,Paul Mitchell the School-Costa Mesa,1,3,CA,10647,0
3,2,10,1,2,2,1,4780.0,0.5,2,1794,21,0,St Louis College of Health Careers-Fenton,1,3,MO,5143,0
4,4,-3,1,4,2,1,3566.0,,2,3306,13,0,Interactive College of Technology-Gainesville,1,3,GA,9850,0
5,1,32,18,0,4,4,8441.0,1.0,1,36357,11,1,Erikson Institute,1,2,IL,17639,0
6,1,-3,-2,-2,1,1,,,3,5167,32,1,Sandusky Career Center,1,1,OH,4774,0
7,1,24,6,5,3,3,3181.0,0.6923,1,6884,11,1,College of Biblical Studies-Houston,1,2,TX,7091,0
8,1,-3,-2,-2,1,1,,,2,10366,12,1,Emil Fries Piano Hospital and Training Center,0,2,WA,11803,0
9,1,-3,-2,-2,1,1,,,3,2583,11,1,Cortiva Institute-Chicago,1,3,IL,11792,0
10,2,28,12,5,4,3,6023.0,0.1727,1,5600,13,1,Embry-Riddle Aeronautical University-Worldwide,1,2,FL,10808,0
11,1,5,5,2,2,2,10727.0,0.2905,2,6913,21,1,Suffolk County Community College,1,1,NY,4416,0
12,2,-3,-2,-2,1,1,,,3,7290,11,1,Marian Health Careers Center-Los Angeles Campus,1,3,CA,8630,0
13,1,-3,1,4,2,1,6042.0,0.8571,2,8429,21,1,Academy for Nursing and Health Occupations,1,2,FL,4057,0
14,1,-3,-2,-2,1,1,,,3,641,11,1,Century College,1,3,PR,285,0
15,3,-3,1,4,2,2,3500.0,,2,5698,21,1,Interactive College of Technology,1,3,TX,8753,0
16,4,-3,-2,-2,1,1,,,2,995,11,0,Miami Ad School-Minneapolis,0,3,MN,10300,0
17,12,10,2,4,2,2,4983.0,0.0625,2,1436,11,0,Vatterott College-Dividend,1,3,TN,9934,0
18,33,29,6,5,3,3,,,1,1086,11,0,National American University-Albuquerque West,1,3,NM,14320,0
19,33,22,6,5,3,2,5833.0,,1,1919,21,0,National American University-Brooklyn Center,1,3,MN,15132,0
0,1,-3,-2,-2,4,4,,,1,12460,33,1,Upper Valley Educators Institute,1,2,NH,15181,0
1,2,-3,-2,-2,1,1,,,2,2850,21,1,Aviation Institute of Maintenance-Atlanta,1,3,GA,13907,0
2,3,10,1,4,2,1,1515.0,,2,1147,21,0,Career Training Academy-Pittsburgh,1,3,PA,5218,0
3,18,10,1,4,2,1,3121.0,,2,5498,21,0,Remington College-Baton Rouge Campus,1,2,LA,10198,0
4,9,-3,-2,-2,1,1,,,3,1264,13,0,Everest Institute-Dearborn,0,2,MI,4463,0
5,3,10,2,4,2,1,4456.0,1.0,2,1948,11,1,Community Care College,1,2,OK,12756,0
6,1,-3,-2,-2,1,1,,,3,794,21,1,My Le's Beauty College,1,3,CA,4872,0
7,1,24,18,0,4,4,7651.0,,1,6300,21,1,Northeastern Seminary,1,2,NY,9408,0
8,1,26,18,0,4,4,,,1,5162,11,1,Seattle Institute of Oriental Medicine,1,3,WA,9104,0
9,1,-3,-2,-2,1,1,,,3,2376,32,1,Shawnee Beauty College,1,3,OK,5639,0
10,1,26,6,10,4,1,5667.0,,1,3850,13,1,Acupuncture and Massage College,1,3,FL,10028,0
11,3,10,1,4,2,2,2700.0,,2,4785,32,0,Du Bois Business College-Huntingdon,0,3,PA,5127,0
12,1,26,6,0,4,1,8522.0,,1,2168,13,1,East West College of Natural Medicine,1,3,FL,6802,0
13,1,-3,-2,-2,1,1,,,3,1252,11,1,Bennett Career Institute,1,3,DC,978,0
14,8,10,-2,-2,1,1,,,3,2841,12,0,Blue Cliff College-Shreveport,1,3,LA,8470,0
15,135,10,6,6,3,2,6060.0,0.0714,1,3069,21,0,ITT Technical Institute-Wilmington,0,3,MA,17926,0
16,2,26,6,0,4,4,3497.0,,1,2329,11,0,Midwest College of Oriental Medicine-Evanston,1,3,IL,9056,0
17,28,20,6,5,4,3,6242.0,,1,4480,11,0,Argosy University-Seattle,1,3,WA,11755,0
18,4,-3,-2,-2,1,1,,,3,3064,21,1,Hollywood Institute of Beauty Careers,1,3,FL,7371,0
19,1,-3,-2,-2,1,1,,,3,4960,11,1,Paul Mitchell the School-St Louis,1,3,MO,11725,0
0,2,-3,-2,-2,1,1,,,3,2352,21,1,Cosmopolitan Beauty and Tech School,1,3,VA,5946,0
1,1,-3,-2,-2,1,1,,,3,1719,13,1,Salon 496 Barber Academy,0,3,SC,4011,0
2,1,-3,-2,-2,1,1,,,3,2203,32,1,Cosmetology College of Franklin County,1,3,MO,6778,0
3,1,-3,-2,-2,1,1,,,3,3539,11,1,Nashville Barber and Style Academy,1,3,TN,11481,1
4,1,-3,-2,-2,1,1,,,3,2495,32,1,Elite Cosmetology School,1,3,CA,7703,0
5,1,-3,-2,-2,1,1,,,3,5930,21,1,American Technical Institute,1,3,PR,7254,0
6,1,-3,6,11,4,2,3082.0,,1,4918,21,1,Bergin University of Canine Studies,1,2,CA,6612,0
7,2,-3,1,4,2,1,4270.0,0.4706,2,2232,11,1,Pima Medical Institute-Aurora,1,3,CO,5262,0
8,1,-3,-2,-2,1,1,,,3,3176,11,1,Real Barbers College,1,3,CA,8512,0
9,1,-3,-2,-2,1,1,,,3,4401,11,1,Buckner Barber School,1,3,TX,7359,0
10,1,-3,6,5,3,2,1097.0,0.2308,1,1578,21,1,Simmons College of Kentucky,1,2,KY,3632,0
11,1,-3,-2,-2,1,1,,,3,9988,11,1,Atelier Esthetique Institute of Esthetics,1,3,NY,18357,0
12,1,-3,-2,-2,1,1,,,3,3737,32,1,Advanced College of Cosmetology,1,3,WI,11842,0
13,1,-3,-2,-2,1,1,,,3,2976,21,1,Entourage Institute of Beauty and Esthetics,1,3,KS,9109,0
14,1,-3,-2,-2,1,1,,,3,4290,11,1,United Beauty College,1,3,CO,5561,0
15,1,-3,-2,-2,1,1,,,2,5212,11,1,Cinta Aveda Institute,1,3,CA,13540,0
